City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tucuruí,15,BR,1597077092,37,-3.77,-49.67,92.77,5.19
Hofn,90,IS,1597077092,93,64.25,-15.21,53.6,9.17
Broome,20,US,1597077092,61,42.25,-75.83,84.99,3.36
Salalah,90,OM,1597076884,88,17.02,54.09,78.8,4.7
Rūdbār,0,AF,1597077093,10,30.15,62.6,96.06,18.72
Lichinga,0,MZ,1597077093,45,-13.31,35.24,68.0,12.75
Middlebury (village),40,US,1597077093,61,44.02,-73.17,84.0,6.46
Namatanai,51,PG,1597077093,77,-3.67,152.43,78.66,2.21
Lerwick,20,GB,1597077041,82,60.15,-1.15,59.0,8.05
Bambanglipuro,77,ID,1597077093,91,-7.95,110.28,74.17,5.46
Vestmanna,75,FO,1597077093,87,62.16,-7.17,57.2,11.41
Tommot,3,RU,1597077093,88,58.96,126.29,53.38,2.21
Acajutla,60,SV,1597077093,75,13.59,-89.83,82.99,5.17
Kununurra,67,AU,1597077094,48,-15.77,128.73,62.6,3.36
Phalaborwa,0,ZA,1597077094,40,-23.94,31.14,73.4,10.29
Eston,40,CA,1597077094,55,51.15,-108.75,66.99,13.87
Koungou,13,YT,1597077094,78,-12.73,45.2,73.4,6.93
Paka,98,MY,1597077094,94,4.64,103.44,77.0,2.24
Santa Isabel Rio Negro,59,BR,1597077094,43,-0.41,-65.02,93.85,3.62
Pacific Grove,90,US,1597077094,77,36.62,-121.92,62.6,3.31
Hays,11,US,1597076843,59,30.05,-98.03,88.0,1.99
Egvekinot,81,RU,1597077094,98,66.32,-179.17,45.18,1.52
Olenegorsk,100,RU,1597077095,91,68.15,33.3,49.69,6.55
Nur-Sultan,75,KZ,1597077095,64,51.18,71.45,69.8,4.47
Berlevåg,75,NO,1597077095,93,70.86,29.09,50.0,19.46
Xinqing,20,CN,1597077095,86,48.23,129.5,61.97,2.55
Glazunovka,48,RU,1597077095,69,52.5,36.33,66.45,4.83
Abasolo,90,MX,1597077095,72,20.45,-101.52,68.0,5.26
Taksimo,99,RU,1597077095,78,56.34,114.88,58.06,2.44
Paharpur,21,PK,1597077095,34,32.1,70.97,102.43,14.27
Coquimbo,100,CL,1597077096,76,-29.95,-71.34,57.2,6.93
Staryy Nadym,60,RU,1597077096,83,65.61,72.68,64.11,13.04
Tegul'det,1,RU,1597077096,65,57.31,88.17,62.85,5.32
Lingao,100,CN,1597077096,84,19.91,109.69,82.54,5.75
Santa Engracia,91,ES,1597077096,38,41.94,-1.32,93.2,20.8
Tutóia,2,BR,1597077096,48,-2.76,-42.27,89.2,8.99
Mayo,1,US,1597077096,83,38.89,-76.51,91.0,8.05
Russell,40,US,1597077096,59,32.35,-85.2,91.0,3.36
Malayal,90,PH,1597077097,88,7.21,121.94,80.6,4.7
Calatayud,99,ES,1597077097,61,41.35,-1.64,93.2,10.29
Haverfordwest,92,GB,1597077097,82,51.8,-4.97,73.0,1.99
Praia da Vitória,20,PT,1597077097,65,38.73,-27.07,77.0,13.51
Namtsy,0,RU,1597077097,76,62.72,129.67,53.6,8.95
Saldanha,0,ZA,1597077097,59,-33.01,17.94,62.6,6.93
Toppenish,1,US,1597077097,56,46.38,-120.31,75.0,2.26
Klingenthal,86,DE,1597077097,84,50.37,12.47,73.0,8.01
Mitú,87,CO,1597077097,88,1.2,-70.17,80.74,1.01
Bowen,0,AU,1597077097,93,-20.02,148.23,52.0,2.24
Boa Vista,75,BR,1597077098,66,2.82,-60.67,86.0,4.7
Ciudad Bolivar,50,VE,1597077098,58,8.12,-63.55,88.97,3.78
Port Macquarie,95,AU,1597077098,78,-31.43,152.92,57.0,1.01
Hazorasp,0,UZ,1597077098,44,41.32,61.07,75.2,6.93
Codrington,90,AU,1597077098,84,-38.27,141.97,44.06,10.96
Prince Albert,20,CA,1597077098,55,53.2,-105.77,66.2,13.87
Iralaya,90,HN,1597077098,88,15.0,-83.23,80.6,17.22
Barabai,70,ID,1597077098,94,-2.58,115.38,75.04,1.59
Jilib,27,SO,1597077098,76,0.49,42.79,73.65,8.97
Nago,75,JP,1597077098,83,26.59,127.98,84.2,11.41
Mahon,21,ES,1597077057,66,39.89,4.27,84.2,8.05
Leningradskiy,100,RU,1597077099,81,69.38,178.42,42.46,9.26
Nador,63,MA,1597076904,74,35.17,-2.93,86.0,5.82
Badarganj,93,BD,1597077099,84,25.67,89.05,83.68,8.16
Chunhuhub,52,MX,1597077099,49,19.55,-88.68,93.07,6.67
Ouadda,93,CF,1597077099,93,8.08,22.4,71.17,3.09
Great Falls,1,US,1597077099,28,47.5,-111.3,72.0,12.75
Katsuura,7,JP,1597077099,89,35.13,140.3,84.0,4.0
Bathsheba,40,BB,1597077099,70,13.22,-59.52,87.8,17.22
Sur,2,OM,1597077099,74,22.57,59.53,84.38,9.46
Evensk,16,RU,1597077099,91,61.95,159.23,47.62,2.53
Cametá,61,BR,1597077100,48,-2.24,-49.5,89.17,0.78
Waingapu,10,ID,1597077100,81,-9.66,120.26,76.05,0.45
Rio de Janeiro,20,BR,1597077056,51,-22.9,-43.21,86.0,4.7
Willemstad,75,CW,1597077100,66,12.11,-68.93,87.8,16.11
Kieta,66,PG,1597077100,76,-6.22,155.63,78.64,5.1
Szczecinek,43,PL,1597077100,51,53.71,16.7,82.99,15.01
Perundurai,40,IN,1597077100,88,11.27,77.58,75.2,11.41
Lompoc,0,US,1597076985,100,34.64,-120.46,55.99,3.36
Fort Nelson,75,CA,1597077047,76,58.81,-122.7,55.4,4.7
Inta,96,RU,1597077100,86,66.03,60.17,51.98,7.72
San Cristobal,40,VE,1597077101,43,7.77,-72.22,89.6,20.8
Töltéstava,20,HU,1597077101,48,47.63,17.73,87.8,11.41
Marabu,20,MY,1597077101,94,4.41,114.01,78.8,2.55
La Ronge,75,CA,1597077101,67,55.1,-105.28,60.8,20.8
Sisimiut,61,GL,1597077101,68,66.94,-53.67,42.94,9.55
Peruíbe,0,BR,1597076979,50,-24.32,-47.0,79.5,4.5
Venado Tuerto,0,AR,1597077003,22,-33.75,-61.97,63.0,23.0
Amga,67,RU,1597077101,93,60.9,131.96,54.68,2.64
Okhotsk,80,RU,1597077101,89,59.38,143.3,56.59,6.69
Kolda,75,SN,1597077101,94,12.88,-14.95,80.6,4.7
Sokol'skoye,0,RU,1597077102,70,57.14,43.16,63.54,5.55
Dicabisagan,100,PH,1597077102,78,17.08,122.42,81.64,10.29
Talara,4,PE,1597077102,64,-4.58,-81.27,73.4,11.41
Pontianak,49,ID,1597077102,92,-0.03,109.33,77.5,1.52
Westerly,1,US,1597077094,66,41.38,-71.83,93.0,6.93
Lucea,20,JM,1597077102,66,18.45,-78.17,90.0,21.92
Southbridge,0,US,1597076807,51,42.08,-72.03,87.01,1.99
Novopavlovka,91,RU,1597077102,93,51.22,109.21,52.38,2.57
Golyshmanovo,69,RU,1597077102,93,56.4,68.37,63.59,4.76
Zwedru,77,LR,1597077103,64,6.07,-8.13,81.81,5.77
Sumbe,25,AO,1597077103,81,-11.21,13.84,73.4,9.17
Hanyang,93,CN,1597077103,91,32.14,105.51,75.61,1.45
Yining,9,CN,1597077103,90,29.04,114.56,75.31,1.34
Yanam,75,IN,1597077103,83,16.73,82.22,80.6,8.05
Batamshinskiy,75,KZ,1597077103,82,50.56,58.27,59.0,20.13
Burnie,2,AU,1597077088,88,-41.07,145.92,42.01,1.99
Mumford,43,GH,1597077103,81,5.26,-0.76,75.58,13.2
Kiryat Gat,20,IL,1597077103,58,31.61,34.76,84.2,10.29
São Félix do Xingu,0,BR,1597077103,20,-6.64,-51.99,100.98,3.11
Kirishi,5,RU,1597077103,61,59.45,32.02,62.01,8.1
Martil,50,MA,1597077104,74,35.62,-5.28,84.2,8.05
Sambava,11,MG,1597077104,79,-14.27,50.17,70.34,13.6
Dunedin,43,NZ,1597077084,69,-45.87,170.5,45.0,10.0
Shellbrook,20,CA,1597077104,55,53.22,-106.4,66.2,13.87
La Solana,20,ES,1597077104,21,38.94,-3.24,93.2,9.17
Kayseri Province,20,TR,1597077104,30,38.74,35.5,84.2,9.17
Takanabe,7,JP,1597077104,86,32.13,131.5,78.78,5.08
Colwyn Bay,100,GB,1597077104,90,53.29,-3.73,68.0,1.99
Gaozhou,91,CN,1597077104,92,21.94,110.85,80.01,5.97
Enniscorthy,75,IE,1597077105,82,52.5,-6.56,69.01,2.24
Beecher,1,US,1597077105,65,43.09,-83.69,86.0,6.93
Tyukalinsk,26,RU,1597077105,77,55.87,72.2,66.09,10.33
Lorengau,85,PG,1597077105,74,-2.02,147.27,80.78,4.23
Eureka,0,US,1597076836,14,40.8,-124.16,63.0,2.93
Archena,34,ES,1597077105,30,38.12,-1.3,93.2,16.11
Stolac,20,BA,1597077105,35,43.08,17.96,89.6,11.41
Buin,57,CL,1597077105,81,-33.73,-70.75,55.0,7.99
Otradnoye,36,RU,1597077105,59,59.78,30.82,66.99,8.55
Cavalcante,1,BR,1597077105,26,-13.8,-47.46,86.13,4.68
Goya,12,AR,1597077106,28,-29.14,-59.26,87.4,7.7
Portland,1,US,1597076945,55,45.52,-122.68,69.8,3.83
Green River,1,US,1597077033,19,41.53,-109.47,71.6,9.8
Belyy Yar,0,RU,1597077106,77,53.6,91.39,60.8,2.24
Stornoway,20,GB,1597077106,77,58.21,-6.39,69.01,10.29
Lingyuan,0,CN,1597077106,39,41.24,119.4,70.09,4.43
Waddān,46,LY,1597077106,21,29.16,16.14,97.97,5.39
Qui Nhon,85,VN,1597077106,73,13.77,109.23,82.42,6.08
Tambun,20,ID,1597077106,78,-6.26,107.07,82.4,3.36
Iaçu,87,BR,1597077106,41,-12.77,-40.21,83.53,5.5
Bibiani,84,GH,1597077107,72,6.46,-2.32,79.54,3.96
Angoche,2,MZ,1597077107,72,-16.23,39.91,71.82,10.92
Moerai,40,PF,1597077107,88,-22.43,-151.33,73.71,9.53
Saint-Augustin,13,CA,1597077107,63,51.23,-58.65,72.39,14.43
Adeje,20,ES,1597077107,54,28.12,-16.73,82.4,24.16
Hay River,90,CA,1597077047,87,60.82,-115.8,60.8,5.99
Makungu,42,TZ,1597077107,65,-8.73,35.28,61.68,5.59
Windhoek,0,NA,1597077107,7,-22.56,17.08,75.2,6.93
Peterhead,75,GB,1597077107,82,57.51,-1.8,62.01,8.05
Souillac,40,MU,1597077108,68,-20.52,57.52,68.0,9.17
Torres,0,BR,1597076863,45,-29.34,-49.73,78.37,7.81
Vao,100,NC,1597077108,87,-22.67,167.48,69.58,7.47
Kabanjahe,40,ID,1597077108,94,3.1,98.49,78.8,3.36
Weiser,1,US,1597077108,31,44.25,-116.97,78.01,9.17
Ust'-Kulom,0,RU,1597077108,76,61.69,53.69,52.86,4.88
Port-Gentil,75,GA,1597077109,88,-0.72,8.78,77.0,18.37
Kavaratti,100,IN,1597077109,78,10.57,72.64,82.63,20.8
The Valley,20,AI,1597076899,66,18.22,-63.06,87.8,14.99
Vostok,83,RU,1597077006,100,46.49,135.88,60.4,3.69
Balasore,94,IN,1597077109,83,21.49,86.93,84.22,6.93
Tari,96,NG,1597077109,67,12.41,4.49,83.79,9.24
Samarai,37,PG,1597077109,89,-10.62,150.67,78.03,9.57
Bama,71,NG,1597077109,74,11.52,13.69,80.37,7.11
Eyl,10,SO,1597077109,65,7.98,49.82,77.56,29.08
Beringovskiy,14,RU,1597077109,88,63.05,179.32,50.56,10.67
Bajram Curri,20,AL,1597077109,26,42.36,20.08,93.2,8.05
Onda,22,ES,1597077109,66,39.97,-0.25,84.0,3.0
Todos Santos,40,MX,1597077110,72,23.45,-110.22,84.0,1.01
Pangnirtung,90,CA,1597077110,75,66.15,-65.71,46.4,4.7
Tessalit,0,ML,1597077110,9,20.2,1.01,105.06,12.35
São João da Barra,20,BR,1597077110,54,-21.64,-41.05,80.6,16.11
Avera,1,US,1597076918,70,33.19,-82.53,86.0,6.93
Dzaoudzi,8,YT,1597077110,78,-12.79,45.27,73.4,6.93
Minden,20,DE,1597077110,35,52.28,8.92,88.0,12.75
Soyo,40,AO,1597077110,83,-6.13,12.37,75.2,16.11
